Prediction,Material,Plant,UnitofMeasure,DebitCredit,DayOfWeek,Month,DayOfYear,WeekOfYear,IsWeekend,Quantity,Quantity_pred
124,9,1,1,2,-1.448226,-0.722844,-0.858409,-0.827933,-0.373442,9.949656,3.676145
125,26,1,1,2,-0.846265,1.553246,1.588768,1.599769,-0.373442,9.903538,4.317212
126,23,1,1,2,-0.846265,0.13069,0.010245,0.025043,-0.373442,5.428468,3.275757
127,23,1,1,1,-1.448226,-0.153821,-0.055137,-0.040571,-0.373442,6.811465,3.508451
128,12,1,1,2,0.354319,-0.717978,-0.825578,-0.822985,-0.372104,9.729194,3.813867
129,1,1,1,2,-0.248713,-0.717978,-0.834893,-0.822985,-0.372104,6.993603,3.969969
130,23,1,1,1,-0.248713,-0.150454,-0.043126,-0.03784,-0.372104,9.113058,3.538409
131,10,1,1,2,1.560384,-1.00174,-1.067766,-1.0847,2.687418,8.98524,4.364177
132,7,1,1,1,-1.454777,-1.569263,-1.570771,-1.542701,-0.372104,8.651235,3.263783
133,1,1,1,2,1.560384,1.552116,1.484519,1.467022,2.687418,8.602306,3.970775
134,7,1,1,1,0.957352,-1.00174,-0.946672,-0.953842,-0.372104,8.784744,3.121457
135,7,1,1,2,-1.454777,0.417069,0.525084,0.551019,-0.372104,6.524296,3.165675
136,1,1,1,2,0.354319,1.268355,1.344796,1.336164,-0.372104,6.993603,2.930604
137,1,1,1,2,-0.851745,0.700831,0.739327,0.747305,-0.372104,8.602306,3.579154
138,1,1,1,2,0.957352,1.268355,1.223702,1.205307,-0.372104,8.938725,3.760346
139,14,1,1,2,1.560384,0.700831,0.571658,0.551019,2.687418,5.101085,3.274876
140,26,1,1,2,0.354319,0.700831,0.823161,0.812734,-0.372104,9.903538,4.192086
141,22,1,1,1,1.560384,-0.434216,-0.406407,-0.430412,2.687418,8.791516,3.374752
142,1,1,1,2,-0.248713,0.417069,0.478509,0.48559,-0.372104,6.993603,3.560014
143,26,1,1,1,-0.851745,-1.569263,-1.62666,-1.60813,-0.372104,9.210441,4.278821
144,22,1,1,2,0.957352,-1.285501,-1.207489,-1.215557,-0.372104,6.014302,2.74191
145,22,1,1,1,0.957352,0.417069,0.36673,0.354733,-0.372104,6.811465,3.381807
146,14,1,1,1,-1.454777,0.417069,0.534399,0.551019,-0.372104,9.143966,3.347902
147,7,1,1,1,0.957352,1.268355,1.214387,1.205307,-0.372104,8.497113,3.601453
148,8,1,1,2,1.560384,-1.569263,-1.654605,-1.673558,2.687418,9.988462,4.369959
149,18,1,1,1,-0.851745,-1.569263,-1.62666,-1.60813,-0.372104,7.909343,3.072865
